Time,Training AUC,Validation AUC
7.0,[0.97183099],[nan]
9.399999999999999,[0.97935076],[0.88888889]
13.100000000000001,[0.98805794],[0.90322581]
19.0,[0.98241482],[0.98914316]
24.5,[0.99108894],[0.92646153]
32.2,[0.99685878],[0.84971954]
42.0,[0.98153911],[0.85979375]
55.599999999999994,[0.9902885],[0.84810989]
79.30000000000001,[0.98060144],[0.68890611]
