Time,Training AUC,Validation AUC
7.0,[0.83274648],[nan]
9.399999999999999,[0.86885852],[0.80555556]
13.100000000000001,[0.87649028],[0.87096774]
19.0,[0.86300906],[0.77652939]
24.5,[0.8988323],[0.74364716]
32.2,[0.91600539],[0.56961358]
42.0,[0.76006741],[0.57404726]
55.599999999999994,[0.76038437],[0.60582903]
79.30000000000001,[0.73474463],[0.7485653]
