Time,Training AUC,Validation AUC
7.0,[0.94894366],[nan]
9.399999999999999,[0.95583959],[0.86111111]
13.100000000000001,[0.94341699],[0.90322581]
19.0,[0.93475356],[0.82821008]
24.5,[0.95708437],[0.8273763]
32.2,[0.95408697],[0.7186147]
42.0,[0.81636586],[0.71716652]
55.599999999999994,[0.7874049],[0.73099922]
79.30000000000001,[0.68771332],[0.90756606]
