Time,Training AUC,Validation AUC
7.0,[1.],[nan]
9.399999999999999,[1.],[0.86111111]
13.100000000000001,[1.],[0.87096774]
19.0,[1.],[0.97828632]
24.5,[1.],[0.97793354]
32.2,[1.],[0.91737911]
42.0,[1.],[0.93218988]
55.599999999999994,[1.],[0.92653903]
79.30000000000001,[1.],[0.83201668]
