Time,Training AUC,Validation AUC
7.0,[0.88732394],[nan]
9.399999999999999,[0.90514007],[0.77777778]
13.100000000000001,[0.89651687],[0.80645161]
19.0,[0.87975347],[0.82285545]
24.5,[0.91325465],[0.74697024]
32.2,[0.92419986],[0.61228464]
42.0,[0.77253426],[0.5953228]
55.599999999999994,[0.77676615],[0.62887754]
79.30000000000001,[0.76820901],[0.76421259]
